id,value
id_0,25.325606514837666
id_1,64.504915755912037
id_2,19.498981104304249
id_3,29.049678794252333
id_4,9.1909376405270073
id_5,32.826994603609933
id_6,41.131308220262547
id_7,16.968409538358586
id_8,51.884685593922818
id_9,32.859505033772329
id_10,38.421482815074334
id_11,58.087394564521965
id_12,35.278169407098751
id_13,40.542539437156108
id_14,27.957847045770439
id_15,11.67244782759888
id_16,51.550831688781173
id_17,23.085038556842758
id_18,17.096363761905238
id_19,18.568577326544233
id_20,14.773421351716895
id_21,30.828109560929811
id_22,39.301756648035834
id_23,10.477966471318014
id_24,60.81674869351707
id_25,46.511522903683414
id_26,26.868157479264806
id_27,7.4308661731597851
id_28,29.178268086858029
id_29,35.988892723123399
id_30,18.128861351300504
id_31,11.304542721776286
id_32,16.195557274791188
id_33,7.3834775431677198
id_34,16.077600114447414
id_35,42.698759436735948
id_36,21.59705840950862
id_37,27.130622726486969
id_38,10.910541949201152
id_39,58.197486503555496
id_40,47.363650690053824
id_41,18.506466685438351
id_42,52.83352838764003
id_43,18.135025026903385
id_44,44.438359851355941
id_45,49.923864226076823
id_46,57.548584988081643
id_47,41.015364589362648
id_48,54.862666911433088
id_49,39.571655627787166
id_50,30.025980747124382
id_51,23.565615356552772
id_52,40.175771678570896
id_53,23.980543995052226
id_54,36.785741053643036
id_55,38.494838147920291
id_56,24.319837085831466
id_57,21.327606611160707
id_58,35.883668478455775
id_59,32.199992963464638
id_60,13.147699006701471
id_61,23.035050599743556
id_62,32.196581607702072
id_63,53.272867110963418
id_64,50.135491347676854
id_65,25.597036115423883
id_66,38.227809473190874
id_67,52.306607201422636
id_68,28.403166741932587
id_69,38.850102458905774
id_70,65.075991412416769
id_71,55.801323755715053
id_72,43.099009223610985
id_73,13.650009122670859
id_74,13.849705627774034
id_75,36.035926488798701
id_76,63.556361842398502
id_77,2.1693274438435743
id_78,41.712916652864841
id_79,41.908402669536805
id_80,8.488753410074235
id_81,22.593443819614979
id_82,5.3821917715657017
id_83,30.920822952456298
id_84,8.194347134080731
id_85,5.0244907314435139
id_86,17.02918986980076
id_87,12.170889848773541
id_88,18.344408824132096
id_89,23.886267962818426
id_90,35.524875342837468
id_91,12.681859327236275
id_92,12.383618550971992
id_93,9.5431493380732988
id_94,37.580393410777447
id_95,15.372410469515124
id_96,16.930004053432214
id_97,9.0797382419766919
id_98,11.081286073376797
id_99,4.432166087263445
id_100,9.8537241378495679
id_101,18.842258336479848
id_102,11.889964030316769
id_103,8.8156094140761088
id_104,12.51649552128416
id_105,36.868881512753546
id_106,25.103164519259803
id_107,7.494952139553912
id_108,17.064957151302192
id_109,15.529919627897765
id_110,11.635555377897395
id_111,15.831445091824078
id_112,16.303456492708957
id_113,25.933857704313535
id_114,19.473102437055996
id_115,16.220585006510991
id_116,7.0927576790024025
id_117,44.044968204365219
id_118,26.274021068137404
id_119,0.857556469897364
id_120,-0.11195518177151562
id_121,10.354477681605314
id_122,12.687968356925721
id_123,12.959100665104526
id_124,7.8596171721844748
id_125,25.073025091720783
id_126,22.33263134044239
id_127,10.063935182228745
id_128,20.501509847273333
id_129,14.99086542507459
id_130,0.78388550898518783
id_131,32.693062916809232
id_132,15.05268857069837
id_133,21.551527703634608
id_134,26.942188555413356
id_135,24.535061594725118
id_136,9.8205349536452431
id_137,21.548316270222809
id_138,79.024308578902506
id_139,61.969851903955949
id_140,26.73239409095499
id_141,18.987050693673336
id_142,24.230122778467969
id_143,7.22443504848047
id_144,12.421350017635179
id_145,10.064455730648115
id_146,18.903374258321609
id_147,7.7682141958590814
id_148,12.427018608445266
id_149,15.808225510260757
id_150,46.828860781562156
id_151,20.608085427159963
id_152,22.409924817733927
id_153,14.226563313919353
id_154,13.753536936510198
id_155,24.291878811370715
id_156,24.576910395832204
id_157,36.887190854865246
id_158,3.6831951440894635
id_159,22.673206304546301
id_160,43.669978920536082
id_161,18.888447702718249
id_162,63.015919455482297
id_163,16.999122720722934
id_164,33.648486281783477
id_165,24.315638164501539
id_166,22.997244811816294
id_167,0.58274844691536865
id_168,68.022979045398998
id_169,17.05159324037724
id_170,16.039792584429929
id_171,70.5810388377203
id_172,21.284017738804597
id_173,2.2137912820683758
id_174,23.674805327362403
id_175,0.61433991103674834
id_176,7.5103329056019765
id_177,18.234408525991974
id_178,21.706903558345864
id_179,24.455398678214241
id_180,42.847228397163931
id_181,32.522543015943562
id_182,29.377450325700529
id_183,13.82178901680463
id_184,7.3096092857158821
id_185,41.624058547050844
id_186,35.986078924452642
id_187,34.722889248659143
id_188,16.130934312884293
id_189,23.80674581552222
id_190,13.929544401770732
id_191,15.957127502113382
id_192,30.444839410462407
id_193,73.915602007487863
id_194,30.512524672738007
id_195,10.802815701624253
id_196,63.061622505021418
id_197,16.311299375569291
id_198,19.697969747024075
id_199,21.229089479661091
id_200,124.31935218646984
id_201,23.007928426707977
id_202,58.670633937882911
id_203,5.3168305365519233
id_204,59.899047219366615
id_205,35.816631267943151
id_206,14.792501768699264
id_207,14.225666136802831
id_208,62.454200018809622
id_209,14.363839746132308
id_210,35.955170975305577
id_211,69.309104711902293
id_212,18.447945192914943
id_213,113.24276256757837
id_214,41.10789216103209
id_215,77.177614893574201
id_216,92.589202431736339
id_217,70.953752806222212
id_218,30.398856440232766
id_219,19.744534530793125
id_220,30.5611771293751
id_221,57.32879353496638
id_222,26.835127912403316
id_223,37.977101440663326
id_224,42.739705896136101
id_225,9.9948165746710433
id_226,4.8145878606815948
id_227,82.420073135524703
id_228,30.22618478832155
id_229,2.223380866028335
id_230,40.678623084734625
id_231,15.246113000854972
id_232,21.579526088220778
id_233,7.5706330029791182
id_234,14.5377434498062
id_235,25.592949013004411
id_236,13.794208956965253
id_237,4.2752166911421998
id_238,21.361895709743507
id_239,10.945107118069563
